Uuid,Void/Retire,Fully specified name:en,Fully specified name:km_KH,Short name:en,Short name:km_KH,Description:en,Description:km_KH,Data class,Data type,Answers,_version:1,_order:1000
c7dd36c8-59f7-4904-af7b-b0b11d87dd24,,Nimule,,Nimule,,Nimule,,Misc,Text,,,
7161d981-cd3c-4265-ab86-4e5ffcf314d0,,Juba Teaching Hospital,,Juba Teaching Hospital,,Juba Teaching Hospital,,Misc,Text,,,
20396363-6d01-4f5b-8ec5-88e18b58de69,,Health Facility,,Health Facility,,Health Facility,,Misc,Coded,c7dd36c8-59f7-4904-af7b-b0b11d87dd24;7161d981-cd3c-4265-ab86-4e5ffcf314d0;,,
a933e5f0-e1b1-43ce-9b7f-3b3b6dbadfb1,,Female Sex Worker,,FemaleSexWorker,,Female Sex Worker,,Misc,Text,,,
c2eac295-612f-4b39-ac99-dd7154dbae91,,Men who have sex with men (MSM),,Men who have sex with men (MSM),,Men who have sex with men (MSM),,Misc,Text,,,
97aaf4f9-8d9d-45f5-af4f-f67d0d329148,,Non KP or a person from general population,,Non KP or a person from general population,,Non KP or a person from general population,,Misc,Text,,,
2ad0c25c-c552-4260-bb57-66b2412af8aa,,Key Population Type,,KeyPopulationType,,Key Population Type,,Misc,Coded,a933e5f0-e1b1-43ce-9b7f-3b3b6dbadfb1;c2eac295-612f-4b39-ac99-dd7154dbae91;97aaf4f9-8d9d-45f5-af4f-f67d0d329148;,,
880fb921-cfe6-4558-a4c4-b4833f8fdf14,,DRC,,DRC (+243),,DRC,,Misc,Text,,,
6f567334-ea04-4e52-abc6-85540d04608d,,Eriteria,,Eriteria (+291),,Eriteria,,Misc,Text,,,
837daf2a-3735-40d2-abbc-b2806ea881ad,,Ethopia,,Ethopia (+251),,Ethopia,,Misc,Text,,,
c8e32e85-47ff-496c-952d-5cc7b404eb7f,,Kenya,,Kenya (+254),,Kenya,,Misc,Text,,,
3ea74ec2-cb00-4a34-9b0c-d7ca4630e8d9,,South Sudan,,South Sudan (+211),,South Sudan,,Misc,Text,,,
f77cae0f-4a9d-4a34-a434-f750931e26c7,,Uganda,,Uganda (+256),,Uganda,,Misc,Text,,,
f94a1899-ae70-429f-8259-d7c0ffcac40e,,Rwanda,,Rwanda (+250),,Rwanda,,Misc,Text,,,
b606ac27-900c-45e1-8d3f-ee308445e8f6,,Tanzania,,Tanzania (+255),,Tanzania,,Misc,Text,,,
7e0d7a8d-a10f-4a25-9b64-a686933a46bf,,Somalia,,Somalia (+252),,Somalia,,Misc,Text,,,
